date_id,arrival_date,year,month,month_name,day,quarter,is_weekend
20151024,2015-10-24,2015,10,October,24,4,True
20151025,2015-10-25,2015,10,October,25,4,True
20151026,2015-10-26,2015,10,October,26,4,False
20151027,2015-10-27,2015,10,October,27,4,False
20151028,2015-10-28,2015,10,October,28,4,False
20151029,2015-10-29,2015,10,October,29,4,False
20151030,2015-10-30,2015,10,October,30,4,False
20151031,2015-10-31,2015,10,October,31,4,True
20151101,2015-11-01,2015,11,November,1,4,True
20151102,2015-11-02,2015,11,November,2,4,False
20151103,2015-11-03,2015,11,November,3,4,False
20151104,2015-11-04,2015,11,November,4,4,False
20151105,2015-11-05,2015,11,November,5,4,False
20151106,2015-11-06,2015,11,November,6,4,False
20151107,2015-11-07,2015,11,November,7,4,True
20151108,2015-11-08,2015,11,November,8,4,True
20151109,2015-11-09,2015,11,November,9,4,False
20151110,2015-11-10,2015,11,November,10,4,False
20151111,2015-11-11,2015,11,November,11,4,False
20151112,2015-11-12,2015,11,November,12,4,False
20151113,2015-11-13,2015,11,November,13,4,False
20151114,2015-11-14,2015,11,November,14,4,True
20151115,2015-11-15,2015,11,November,15,4,True
20151116,2015-11-16,2015,11,November,16,4,False
20151117,2015-11-17,2015,11,November,17,4,False
20151118,2015-11-18,2015,11,November,18,4,False
20151119,2015-11-19,2015,11,November,19,4,False
20151120,2015-11-20,2015,11,November,20,4,False
20151121,2015-11-21,2015,11,November,21,4,True
20151123,2015-11-23,2015,11,November,23,4,False
20151124,2015-11-24,2015,11,November,24,4,False
20151125,2015-11-25,2015,11,November,25,4,False
20151126,2015-11-26,2015,11,November,26,4,False
20151127,2015-11-27,2015,11,November,27,4,False
20151128,2015-11-28,2015,11,November,28,4,True
20151129,2015-11-29,2015,11,November,29,4,True
20151130,2015-11-30,2015,11,November,30,4,False
20151201,2015-12-01,2015,12,December,1,4,False
20151202,2015-12-02,2015,12,December,2,4,False
20151203,2015-12-03,2015,12,December,3,4,False
20151204,2015-12-04,2015,12,December,4,4,False
20151205,2015-12-05,2015,12,December,5,4,True
20151206,2015-12-06,2015,12,December,6,4,True
20151207,2015-12-07,2015,12,December,7,4,False
20151208,2015-12-08,2015,12,December,8,4,False
20151210,2015-12-10,2015,12,December,10,4,False
20151211,2015-12-11,2015,12,December,11,4,False
20151212,2015-12-12,2015,12,December,12,4,True
20151213,2015-12-13,2015,12,December,13,4,True
20151214,2015-12-14,2015,12,December,14,4,False
20151217,2015-12-17,2015,12,December,17,4,False
20151218,2015-12-18,2015,12,December,18,4,False
